A|1|BES|13|5|1666|1489
A|2|BOU|13|5|1495|1383
A|3|BUD|12|6|1598|1461
A|4|TTK|12|6|1562|1352
A|5|TRN|11|7|1486|1513
A|6|NIN|9|9|1449|1458
A|7|ULM|7|11|1470|1622
A|8|LLI|5|13|1335|1437
A|9|LKB|5|13|1415|1502
A|10|NIO|3|15|1349|1608
B|1|JER|13|5|1702|1506
B|2|BAH|12|6|1593|1475
B|3|LJU|12|6|1596|1413
B|4|VNC|11|7|1593|1538
B|5|MAN|11|7|1624|1619
B|6|CLU|9|9|1714|1657
B|7|ARI|8|10|1500|1593
B|8|KLA|7|11|1637|1725
B|9|WRO|5|13|1516|1680
B|10|HAM|2|16|1472|1741
