45,25029,BOV,UD,A,1,1320,2,1,3,0,3,0,0,4,2,0,0,1,-2,0
45,25030,BOV,CRE,H,0,1140,7,2,5,1,1,0,1,4,1,2,0,0,11,0
45,25038,BOV,SS,H,1,780,3,0,1,1,1,0,0,2,1,0,0,0,2,0
45,25047,BOV,TN,A,1,180,0,0,0,0,0,0,0,2,1,0,0,0,3,0
45,25060,BOV,VA,A,1,540,0,0,0,0,0,0,0,1,1,1,0,2,-1,0
45,25062,BOV,RE,H,1,240,0,0,2,0,0,0,0,1,1,0,0,0,-2,0
45,25071,BOV,TVU,A,1,180,4,2,2,0,0,0,0,1,0,0,0,0,4,0
45,25085,BOV,CNT,A,1,540,0,0,2,0,1,0,0,1,0,1,0,0,-1,0
45,25086,BOV,BDBT,H,1,900,2,1,1,0,0,0,0,3,1,0,0,0,5,0
45,25096,BOV,MIO,A,0,840,7,2,3,1,1,0,0,3,0,1,0,0,10,0
45,25102,BOV,BS,H,1,1260,6,2,3,0,0,2,2,3,2,0,0,1,7,0
45,25115,BOV,TSS,A,1,660,2,1,3,0,0,0,0,4,0,0,0,1,2,0
45,25130,BOV,VE,A,1,1020,9,3,5,1,1,0,0,3,1,0,0,0,8,0
45,25134,BOV,TVU,H,1,1380,4,2,3,0,1,0,0,2,1,0,0,0,5,0
45,25148,BOV,CRE,A,1,1020,4,2,3,0,0,0,0,3,0,1,0,1,5,0
45,25150,BOV,TN,H,0,1260,7,2,3,1,1,0,0,3,2,0,0,0,7,0
45,25158,BOV,BS,A,1,780,0,0,2,0,0,0,0,2,0,1,0,0,-4,0
45,25166,BOV,UD,H,1,1020,6,3,3,0,0,0,0,4,1,0,0,0,9,0
45,25179,BOV,PZZ,A,1,240,2,1,1,0,0,0,0,0,0,0,0,0,-1,0
45,25182,BOV,MIO,H,1,540,0,0,0,0,1,0,0,1,1,0,0,1,1,0
45,25196,BOV,RE,A,0,780,2,1,2,0,1,0,0,1,0,0,0,0,-1,0
45,25206,BOV,VE,H,0,480,4,2,2,0,0,0,0,0,0,0,0,1,2,0
45,25214,BOV,CNT,H,1,540,4,2,2,0,0,0,0,1,0,0,0,0,2,0
45,25224,BOV,BDBT,A,1,480,0,0,0,0,0,0,0,2,0,1,0,0,3,0
45,25230,BOV,TSS,H,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,25240,BOV,SS,A,1,180,0,0,1,0,0,0,2,1,1,0,0,0,-1,0
45,25246,BOV,VA,H,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,25021,UD,RE,A,0,1500,9,0,0,3,6,0,0,4,3,0,0,2,10,0
76,25029,UD,BOV,H,0,1140,4,1,2,0,4,2,3,2,2,1,0,0,3,0
76,25037,UD,BS,H,0,1860,21,3,5,5,13,0,0,5,1,1,0,0,18,0
76,25042,UD,TSS,A,0,1740,14,3,7,2,9,2,2,3,2,1,0,0,6,0
76,25051,UD,SS,A,1,1440,16,1,4,4,8,2,2,3,1,0,0,1,10,0
76,25061,UD,VE,H,0,1140,5,0,2,1,6,2,2,2,1,1,0,1,1,0
