2668885||2025-09-18|UPP|90|SLO|84
2668882||2025-09-19|NOR|89|HOG|77
2668883||2025-09-19|BOR|80|NAS|69
2668884||2025-09-19|LUL|89|KOP|83
2668886||2025-09-20|JAM|94|UME|76
2668971||2025-09-22|SLO|56|NOR|87
2668935||2025-09-23|UPP|74|SOD|79
2668967||2025-09-23|NAS|84|LUL|78
2668969||2025-09-23|HOG|109|JAM|111
2668970||2025-09-23|UME|73|BOR|106
2668887||2025-09-26|BOR|96|KOP|71
2668888||2025-09-26|LUL|86|UPP|99
2668890||2025-09-27|HOG|83|SLO|86
2668891||2025-09-27|UME|88|NOR|93
2668946||2025-09-28|SOD|63|NAS|79
2668975||2025-10-02|SOD|85|HOG|81
2668972||2025-10-03|LUL|105|BOR|98
2668973||2025-10-03|KOP|83|NAS|86
2668974||2025-10-03|UPP|86|JAM|81
2668976||2025-10-06|SLO|72|UME|82
2668898||2025-10-07|LUL|96|JAM|87
2668892||2025-10-10|NOR|93|UPP|75
2668893||2025-10-10|BOR|67|SOD|79
2668894||2025-10-10|NAS|95|HOG|104
2668896||2025-10-10|UME|83|KOP|103
2668895||2025-10-11|JAM|113|SLO|78
2668980||2025-10-13|HOG|79|BOR|87
2668977||2025-10-14|KOP|71|SOD|74
2668978||2025-10-14|NAS|94|UPP|90
2668979||2025-10-14|JAM|104|NOR|71
2668981||2025-10-14|UME|73|LUL|77
2668897||2025-10-17|NOR|108|NAS|65
2668899||2025-10-17|UPP|88|HOG|79
2668900||2025-10-17|SOD|68|UME|72
2668901||2025-10-18|SLO|97|KOP|81
2668986||2025-10-23|HOG|93|UME|80
2669019||2025-10-23|SOD|78|LUL|79
2668982||2025-10-24|BOR|118|JAM|83
2668984||2025-10-24|KOP|89|NOR|107
2668985||2025-10-24|NAS|100|SLO|77
2668903||2025-10-26|UPP|98|BOR|100
2668906||2025-10-27|SLO|80|SOD|95
2668904||2025-10-31|JAM|104|KOP|95
2668902||2025-11-01|NOR|113|LUL|82
2668905||2025-11-01|UME|104|NAS|96
2668990||2025-11-03|HOG|66|LUL|106
2668987||2025-11-04|KOP|74|UPP|86
2668988||2025-11-04|NAS|101|JAM|95
2668989||2025-11-04|SOD|88|NOR|92
2668991||2025-11-04|SLO|57|BOR|98
2668907||2025-11-07|BOR|101|NOR|84
2668909||2025-11-07|KOP|109|HOG|100
2669046||2025-11-07|SLO|71|LUL|85
2668910||2025-11-08|UPP|95|UME|80
2668911||2025-11-08|JAM|101|SOD|89
2668992||2025-11-14|NOR|110|NAS|91
2668993||2025-11-14|BOR|95|KOP|88
2668994||2025-11-14|UPP|90|UME|67
2668995||2025-11-14|SOD|90|JAM|82
2668996||2025-11-15|HOG|79|SLO|70
2668913||2025-11-17|NAS|73|BOR|105
2668912||2025-11-18|KOP|82|UPP|97
2668914||2025-11-18|JAM|102|NOR|111
2668916||2025-11-18|SLO|76|LUL|84
2668915||2025-11-19|UME|87|HOG|76
2668997||2025-11-22|NOR|108|BOR|81
2668999||2025-11-22|NAS|97|UME|79
2669000||2025-11-22|HOG|75|SOD|86
2669022||2025-11-22|KOP|78|SLO|104
2669029||2025-11-22|JAM|109|LUL|102
2668917||2025-12-05|KOP|71|LUL|109
2668918||2025-12-05|UPP|80|NAS|85
2668920||2025-12-05|SOD|87|NOR|85
2668919||2025-12-06|JAM|107|HOG|95
2668921||2025-12-06|UME|85|SLO|86
2669004||2025-12-08|LUL|97|HOG|73
2669003||2025-12-12|BOR|82|UPP|84
2669005||2025-12-12|SOD|94|UME|68
2669002||2025-12-13|NOR|92|KOP|81
2669006||2025-12-13|SLO|83|NAS|107
2668923||2025-12-15|UPP|95|LUL|110
2668924||2025-12-16|NAS|73|SOD|88
2668925||2025-12-16|UME|78|KOP|84
2668926||2025-12-16|SLO|64|NOR|100
2668922||2025-12-19|BOR|82|JAM|114
2669012||2025-12-19|LUL|109|NAS|74
2668961||2025-12-20|UME|65|SOD|81
2669007||2025-12-27|NOR|87|UPP|92
2669008||2025-12-27|LUL|90|UME|77
2669009||2025-12-27|JAM|114|NAS|91
2669010||2025-12-27|SOD|64|SLO|56
2669011||2025-12-27|HOG|82|BOR|96
2668931||2025-12-29|SLO|69|JAM|87
2668927||2025-12-30|BOR|89|LUL|84
2668928||2025-12-30|KOP|87|SOD|81
2668929||2025-12-30|UPP|82|HOG|83
2668930||2025-12-30|UME|89|NOR|88
2669014||2026-01-02|SOD|81|BOR|100
2669013||2026-01-05|JAM|104|UME|96
2669015||2026-01-05|HOG|95|KOP|83
2668933||2026-01-08|BOR|101|SLO|86
2668932||2026-01-09|NOR|89|LUL|78
2668934||2026-01-09|KOP|101|JAM|97
2668936||2026-01-09|NAS|111|HOG|98
2668968||2026-01-09|SOD|73|UPP|64
2669016||2026-01-11|SLO|82|UPP|80
2668983||2026-01-14|LUL|80|SOD|66
2669018||2026-01-15|JAM|82|UPP|81
2669017||2026-01-16|KOP|89|NAS|84
2669020||2026-01-17|HOG|63|NOR|94
2669021||2026-01-18|UME|81|BOR|96
2668937||2026-01-23|NOR|90|SOD|69
2668938||2026-01-23|BOR|93|UME|65
2668940||2026-01-23|NAS|102|KOP|98
2668941||2026-01-23|SLO|106|HOG|102
2668939||2026-01-24|UPP|82|JAM|87
2669024||2026-01-26|NAS|87|JAM|88
2669023||2026-01-27|UPP|83|NOR|76
2669025||2026-01-27|SOD|99|BOR|79
2669026||2026-01-27|UME|65|LUL|87
2669001||2026-01-28|SLO|88|KOP|99
2668889||2026-01-30|NAS|79|SOD|83
2668944||2026-01-30|LUL|91|UPP|61
2668945||2026-01-30|JAM|114|SLO|95
2668942||2026-01-31|NOR|108|KOP|83
2669031||2026-02-02|SLO|69|UPP|89
2668998||2026-02-03|LUL|90|JAM|95
2669027||2026-02-03|KOP|93|BOR|85
2669028||2026-02-03|NAS|120|UME|108
2669030||2026-02-03|HOG|76|NOR|87
2668948||2026-02-06|LUL|72|SOD|67
2668949||2026-02-06|UPP|113|KOP|84
2668950||2026-02-06|HOG|93|NAS|75
