JOV|22|12|2906|2766
BAR|24|10|3046|2815
GIR|14|20|2913|3024
CAZ|10|24|2962|3176
COV|6|28|2848|3153
DGC|10|24|2764|2932
LLE|12|22|2856|3097
MAN|16|18|2932|3080
BKN|25|9|3177|2950
LLT|18|16|3040|2940
MBA|10|24|2976|3169
RMB|26|8|3160|2906
BUR|12|22|3049|3152
BRE|15|19|3094|3171
SBB|19|15|2884|2924
UCM|25|9|3113|2876
UNI|17|17|2978|2956
VBC|25|9|3218|2829
