811|51
819|30
960|1
1076|21
1175|8
1190|12
1221|46
2034|8
2077|11
2083|2
2101|7
2102|00
2112|34
2151|9
2198|55
2203|14
2312|44
2321|16
2334|23
2340|21
2357|9
2369|9
2393|10
2407|20
2434|13
2474|28
2482|7
2483|4
2502|13
2535|7
2540|13
2544|6
2560|8
2562|19
2594|30
2618|8
2627|10
2630|41
2633|5
2640|22
2667|8
2699|13
2708|13
2755|44
2810|4
2850|31
2852|24
2853|23
2898|3
2922|12
2931|19
2957|20
2982|3
2983|4
3036|11
3049|3
3109|5
3119|31
3124|5
3143|10
3152|34
3158|10
3168|20
3203|34
3212|6
3213|8
3215|5
3241|11
3260|47
3281|33
3317|41
3361|11
3444|10
3483|11
3512|15
3564|6
3565|1
3583|10
3644|44
3653|30
3717|19
3737|3
3750|13
3755|15
3783|11
3784|9
3797|7
3799|0
3819|5
3826|35
3857|4
3860|7
3892|2
4001|44
4020|77
4054|23
4064|25
4065|99
4099|25
4104|11
4116|22
4139|14
4141|11
4181|7
4260|23
4261|11
4300|24
4323|33
4332|5
4335|12
4397|5
4403|8
4412|2
4418|10
4421|7
4423|21
4431|25
4437|0
4462|13
4467|35
4503|4
4505|11
4520|13
4544|23
4598|18
4607|4
4628|37
4664|13
4666|3
4672|20
4700|2
4716|44
4722|16
4724|24
4755|9
4772|24
4776|14
4780|22
4781|15
4787|5
4800|8
4804|11
4807|1
4831|10
4844|2
4848|13
4873|33
4890|11
4907|1
4945|55
4957|17
4994|16
5006|5
5018|88
5025|18
5028|10
5037|7
5053|16
5061|33
5068|8
5071|21
5072|50
5073|83
5074|33
5076|95
5077|37
5078|14
5080|10
5081|5
5082|15
5091|19
5103|13
5104|17
5109|2
5111|21
5112|55
5117|4
5122|7
5130|13
5133|21
5134|8
5135|3
5136|6
5137|3
5140|6
5144|0
5145|26
5146|4
5148|23
5149|17
5151|15
5152|17
5153|2
5154|35
5156|2
5157|12
5158|32
5183|11
5213|8
5217|1
5223|3
5224|0
5229|14
5231|9
5235|2
5238|12
5239|0
5240|32
5241|14
5260|55
5282|7
5290|24
5291|6
5304|14
5314|19
5440|0
5446|8
5447|89
5449|99
5459|11
5461|23
5467|55
5469|14
5473|23
5474|21
5475|2
5484|18
5490|1
5495|31
